Hours_Studied;Attendance;Parental_Involvement;Access_to_Resources;Extracurricular_Activities;Previous_Scores;Motivation_Level;Tutoring_Sessions;Family_Income;Teacher_Quality;Peer_Influence;Learning_Disabilities;Parental_Education_Level;Distance_from_Home;Study_Efficiency;High_Support;Family_Education_Support;Exam_Score
20;71;2;1;0;87;0;1;2;2;0;0;1;2;0.227272727;0;0;64.778824
22;71;2;1;1;98;1;2;1;0;1;0;1;1;0.222222222;0;0;67.445583
21;91;0;2;1;53;0;1;2;2;2;0;2;2;0.388888889;0;1;70.511306
12;91;2;1;1;81;1;0;1;1;2;0;1;1;0.146341463;0;0;67.068901
21;63;1;0;1;95;2;2;0;2;1;0;1;2;0.21875;1;0;66.64282
21;79;1;2;1;84;1;2;2;2;1;0;1;2;0.247058824;0;0;67.968441
37;73;2;0;1;71;2;0;0;0;2;0;1;1;0.513888889;0;0;70.701715
24;84;1;2;1;52;2;0;1;0;1;0;1;2;0.452830189;0;0;67.89212
17;98;0;1;1;71;2;0;1;0;2;0;2;1;0.236111111;0;1;71.213758
16;94;0;0;1;76;2;0;1;0;1;0;1;2;0.207792208;0;0;69.606381
22;68;2;2;0;87;0;2;2;2;1;0;2;0;0.25;0;0;64.552885
24;96;2;0;1;69;2;1;1;2;2;0;1;2;0.342857143;0;0;71.715246
22;68;2;0;0;76;2;1;2;2;2;0;1;2;0.285714286;0;0;65.21769
17;67;2;2;0;97;2;1;2;1;1;0;2;1;0.173469388;0;0;63.39965
17;72;1;2;1;66;2;2;0;0;0;0;0;2;0.253731343;0;0;64.503881
17;60;0;2;1;86;2;0;1;0;2;0;1;2;0.195402299;0;0;63.619902
22;60;2;2;0;92;1;2;1;0;0;0;1;2;0.23655914;0;0;64.025993
25;97;1;0;1;85;2;2;0;2;2;0;1;2;0.290697674;1;0;74.524803
21;79;2;1;0;86;1;1;0;2;2;0;1;1;0.24137931;0;0;67.251536
11;82;0;0;0;97;1;2;0;2;2;0;0;2;0.112244898;1;0;68.080749
18;69;0;2;1;100;2;3;2;0;0;0;1;2;0.178217822;0;0;66.577829
20;98;2;2;0;80;2;0;2;2;2;0;0;1;0.24691358;0;0;69.194093
19;65;2;2;1;66;1;0;1;2;2;0;1;1;0.28358209;0;0;62.643498
14;78;2;2;0;62;2;1;1;2;1;0;0;2;0.222222222;0;0;63.126514
13;86;2;1;1;54;2;3;0;0;1;1;0;2;0.236363636;0;0;65.597539
25;94;0;0;0;85;0;1;2;2;1;0;0;2;0.290697674;0;0;72.131851
17;100;2;2;0;76;1;3;1;0;1;0;2;1;0.220779221;0;0;70.272123
24;74;0;0;0;95;0;1;0;2;1;0;2;1;0.25;0;1;69.262328
19;70;2;1;0;54;0;0;2;2;2;1;1;1;0.345454545;0;0;62.000399
30;98;1;2;0;51;0;0;1;2;2;0;1;2;0.576923077;0;0;72.195159
21;95;2;2;0;63;2;1;1;2;2;0;2;2;0.328125;0;0;69.262419
19;77;1;2;0;90;1;1;1;0;1;0;0;2;0.208791209;0;0;66.810476
23;77;0;0;1;51;2;1;1;1;2;0;0;1;0.442307692;0;0;67.296877
3;62;2;1;0;67;2;1;1;2;0;0;1;2;0.044117647;0;0;56.855331
16;79;2;2;0;82;1;2;1;2;1;1;2;1;0.192771084;0;0;64.380314
23;78;2;2;1;54;0;0;1;2;1;0;2;2;0.418181818;0;0;66.040647
20;98;1;0;1;67;2;0;0;2;2;0;1;2;0.294117647;0;0;70.900545
13;97;0;0;1;87;1;1;2;0;1;0;2;2;0.147727273;0;1;71.428877
14;86;1;2;1;78;2;3;2;0;0;1;1;2;0.17721519;0;0;66.469035
20;97;2;0;0;62;2;1;2;2;1;0;1;0;0.317460317;0;0;68.221383
20;61;2;0;0;81;2;0;0;0;1;1;1;2;0.243902439;0;0;62.451331
25;62;2;2;1;95;1;1;0;2;1;1;0;2;0.260416667;0;0;64.834724
20;73;0;0;0;70;0;1;1;0;0;0;1;1;0.281690141;0;0;65.487329
16;78;2;0;0;83;2;0;1;1;1;1;0;2;0.19047619;0;0;64.332182
22;64;2;2;1;62;2;3;1;2;1;0;2;1;0.349206349;0;0;63.85434
5;95;2;0;1;92;1;1;1;0;1;0;0;2;0.053763441;0;0;67.323307
13;84;1;2;0;71;1;1;2;0;1;0;0;1;0.180555556;0;0;64.899284
30;74;2;0;0;94;1;0;2;2;2;0;1;2;0.315789474;0;0;69.2928
30;63;0;1;0;97;0;2;1;0;2;1;0;1;0.306122449;0;0;68.009345
39;75;2;0;1;82;0;1;0;1;0;0;0;2;0.469879518;0;0;72.042075
8;60;0;2;1;93;0;0;1;0;1;0;2;2;0.085106383;0;1;62.269572
20;85;1;2;1;75;1;1;2;2;1;0;0;2;0.263157895;0;0;67.897136
19;61;2;2;0;66;2;0;0;2;1;0;1;2;0.28358209;0;0;61.167448
16;100;0;1;1;63;0;2;1;2;0;0;1;1;0.25;0;0;69.584054
31;70;2;0;1;66;2;1;0;2;0;0;0;2;0.462686567;0;0;67.46057
5;61;0;2;0;84;0;1;2;2;1;0;0;2;0.058823529;0;0;59.267898
21;63;2;2;1;64;1;1;0;0;0;0;1;2;0.323076923;0;0;63.219761
23;85;2;2;1;91;1;1;1;0;1;0;1;0;0.25;0;0;68.920838
14;90;2;2;1;51;2;1;2;2;2;1;1;2;0.269230769;0;0;65.224236
22;91;2;0;0;61;2;3;1;0;1;0;2;0;0.35483871;1;0;69.768297
22;97;2;2;1;88;0;1;1;1;2;0;0;2;0.247191011;0;0;72.19104
25;91;2;0;0;92;2;3;1;2;0;0;1;2;0.268817204;1;0;71.997078
20;79;2;0;1;79;1;0;2;0;1;0;1;1;0.25;0;0;66.766218
13;93;2;0;1;51;1;1;1;0;1;0;1;2;0.25;0;0;67.1775
18;72;1;1;1;61;1;1;2;2;0;0;0;1;0.290322581;0;0;63.352246
22;70;1;2;1;82;2;1;1;0;1;0;1;2;0.265060241;0;0;66.371675
34;82;2;0;1;87;0;3;1;2;2;0;1;2;0.386363636;1;0;74.503549
30;70;2;2;0;57;2;1;1;2;0;0;0;0;0.517241379;0;0;64.537038
19;70;2;0;1;92;2;1;1;0;2;0;1;2;0.204301075;0;0;66.774125
18;97;2;0;0;67;2;1;2;0;1;0;1;2;0.264705882;0;0;69.324075
13;67;2;2;1;80;0;1;1;0;0;0;1;1;0.160493827;0;0;62.064535
16;93;2;1;1;81;2;2;1;2;0;1;2;1;0.195121951;0;0;67.28973
23;65;0;0;0;57;1;1;0;2;1;0;1;2;0.396551724;0;0;64.652365
21;95;2;1;0;87;1;2;2;2;1;0;1;2;0.238636364;0;0;70.619541
28;87;2;2;0;95;2;2;2;1;2;0;2;2;0.291666667;0;0;71.811757
19;72;1;0;1;96;1;3;1;1;2;0;1;1;0.195876289;1;0;68.695152
22;64;0;1;0;59;0;0;2;0;2;1;1;2;0.366666667;0;0;63.625326
27;69;2;1;1;93;2;1;2;2;2;0;0;1;0.287234043;0;0;67.431053
12;72;2;2;1;79;0;1;0;2;2;0;0;0;0.15;0;0;62.850213
30;67;2;2;0;97;0;2;0;2;1;1;1;2;0.306122449;0;0;67.432937
22;64;1;2;0;98;1;1;2;2;0;0;1;2;0.222222222;0;0;64.433859
23;81;2;1;1;74;2;0;1;2;1;0;2;2;0.306666667;0;0;67.504414
22;98;2;2;1;93;2;4;1;2;1;0;1;2;0.234042553;0;0;72.953533
16;99;2;0;1;60;2;2;1;0;1;0;2;1;0.262295082;1;0;70.168938
19;96;1;2;0;71;2;2;1;0;2;0;2;1;0.263888889;0;0;70.088147
14;61;1;0;0;62;2;0;0;2;0;0;0;1;0.222222222;0;0;59.386057
12;70;2;2;1;93;2;1;1;0;1;0;1;0;0.127659574;0;0;62.776283
15;88;0;0;1;95;2;2;1;2;0;0;1;2;0.15625;1;0;69.612141
30;91;0;2;0;62;1;3;1;0;0;0;2;2;0.476190476;0;1;73.238094
16;82;2;2;0;91;2;0;1;2;2;0;1;2;0.173913043;0;0;66.13271
20;90;1;2;0;65;1;4;1;0;2;0;0;1;0.303030303;0;0;69.81179
3;83;0;1;1;59;1;2;2;0;2;0;1;1;0.05;0;0;63.458107
25;95;2;2;1;77;0;0;1;0;1;0;2;2;0.320512821;0;0;71.525974
28;95;1;2;0;52;0;3;0;0;0;0;0;2;0.528301887;0;0;71.865302
15;78;2;2;1;81;2;0;2;1;1;0;1;2;0.182926829;0;0;64.721548
20;86;2;2;0;97;1;1;1;2;1;0;1;1;0.204081633;0;0;67.97631
24;89;0;2;0;69;1;3;0;2;1;0;0;2;0.342857143;0;0;70.469763
21;94;2;2;0;71;1;1;1;0;1;0;2;2;0.291666667;0;0;69.573957
22;72;0;2;1;67;1;2;2;2;1;0;0;2;0.323529412;0;0;66.32989
16;93;2;0;0;55;2;2;1;2;1;0;0;2;0.285714286;1;0;67.991779
29;96;2;0;1;95;2;0;0;2;2;0;1;2;0.302083333;0;0;74.086278
25;72;2;0;1;89;2;2;1;0;2;0;2;2;0.277777778;1;0;69.851078
15;79;0;2;1;88;2;3;0;2;1;0;2;1;0.168539326;0;1;67.907794
18;97;0;2;1;75;1;0;1;2;2;0;1;1;0.236842105;0;0;69.864807
20;79;0;0;1;85;1;2;2;2;1;0;0;1;0.23255814;1;0;68.745863
23;73;2;0;0;85;2;1;1;2;1;0;0;2;0.26744186;0;0;66.461088
27;74;2;0;0;51;0;2;2;2;2;0;1;0;0.519230769;1;0;67.19201
31;86;0;0;1;66;2;3;2;2;2;0;0;1;0.462686567;1;0;73.196896
23;92;2;0;0;100;2;1;0;0;1;1;0;2;0.227722772;0;0;70.78011
26;79;2;1;0;97;2;1;0;2;2;0;1;2;0.265306122;0;0;69.53846
14;62;2;0;1;79;1;2;2;2;2;0;1;1;0.175;1;0;63.22767
14;70;2;2;1;88;1;0;0;2;2;0;0;1;0.157303371;0;0;63.362522
18;91;2;2;0;63;2;1;2;2;0;0;0;2;0.28125;0;0;66.266133
20;68;0;2;1;55;0;0;1;1;2;1;1;2;0.357142857;0;0;63.827566
27;87;2;2;1;56;2;3;2;0;1;0;2;2;0.473684211;0;0;70.461986
23;77;2;2;1;72;2;2;0;0;0;0;0;1;0.315068493;0;0;66.675283
20;72;0;1;1;90;1;0;1;0;0;0;2;2;0.21978022;0;1;67.481677
22;82;1;2;0;67;1;1;1;0;1;1;2;2;0.323529412;0;0;66.845495
30;70;2;0;1;83;2;1;0;2;1;0;2;2;0.357142857;0;0;68.629681
14;62;0;2;0;100;1;1;1;2;1;0;1;2;0.138613861;0;0;62.90873
27;86;2;2;0;74;2;2;0;0;1;0;1;2;0.36;0;0;70.192662
28;65;2;2;1;59;0;2;1;2;1;0;1;2;0.466666667;0;0;65.972167
8;88;2;2;1;92;0;1;1;2;0;0;0;2;0.086021505;0;0;65.351716
18;67;0;1;0;73;1;0;2;2;1;0;2;1;0.243243243;0;1;63.90127
32;93;2;2;1;93;0;1;2;0;0;0;2;0;0.340425532;0;0;72.742579
22;99;0;1;0;65;2;3;1;1;1;0;2;2;0.333333333;0;1;73.026727
19;61;2;2;0;74;1;2;0;2;0;0;2;0;0.253333333;0;0;61.210036
26;68;2;0;0;98;1;2;2;2;1;0;0;0;0.262626263;1;0;67.124596
25;92;1;0;0;72;2;1;2;2;2;0;1;2;0.342465753;0;0;71.005571
23;95;0;1;0;92;0;1;1;2;2;0;1;2;0.247311828;0;0;72.547988
38;86;0;2;0;88;0;1;1;0;0;0;1;1;0.426966292;0;0;73.487045
